PDB,mutated_pdb,mutated_conflicts,conflicted_pdb,all_conflicts
2B97,False,,False,
1R2M,False,,False,
2PL7,False,,False,
3QQT,False,,False,
2PL6,False,,False,
2GVM,False,,False,
2FZ6,False,,False,
4BWH,False,,True,EXPRESSIONTAG
4AOG,False,,True,CLONINGARTIFACT
1ZVC,False,,True,CLONINGARTIFACT
2BRJ,False,,False,
2Q4I,False,,True,"EXPRESSIONTAG, MODIFIEDRESIDUE"
2DIO,False,,True,"INITIATINGMETHIONINE, CLONINGARTIFACT, EXPRESSIONTAG, MODIFIEDRESIDUE"
2GIN,False,,True,"INITIATINGMETHIONINE, CLONINGARTIFACT, EXPRESSIONTAG"
1Z8K,False,,True,"CLONINGARTIFACT, MODIFIEDRESIDUE"
4H6C,False,,True,EXPRESSIONTAG
4H6B,False,,True,EXPRESSIONTAG
4CQ7,False,,True,EXPRESSIONTAG
4CQ6,False,,True,EXPRESSIONTAG
2OOJ,False,,True,"LEADERSEQUENCE, MODIFIEDRESIDUE"
2Q03,False,,True,"LEADERSEQUENCE, MODIFIEDRESIDUE"
2F9H,False,,True,"CLONINGARTIFACT, MODIFIEDRESIDUE"
2ICH,False,,True,"LEADERSEQUENCE, MODIFIEDRESIDUE"
1S2P,True,CONFLICT,True,CONFLICT
1I4U,True,CONFLICT,True,CONFLICT
1H91,False,,False,
1S44,False,,False,
1OBQ,True,CONFLICT,True,CONFLICT
1OBU,True,CONFLICT,True,CONFLICT
1GKA,False,,False,
1E5P,True,CONFLICT,True,"CONFLICT, MODIFIEDRESIDUE"
4GNY,False,,False,
4KII,False,,True,SEEREMARK999
1BEB,False,,True,VARIANT
1QG5,False,,False,
3UEV,False,,False,
1B8E,False,,False,
3QZK,False,,False,
3NQ9,False,,False,
3NQ3,False,,False,
3UEU,False,,False,
2Q2M,False,,True,VARIANT
3QZJ,False,,False,
4DQ4,False,,False,
4DQ3,False,,False,
3NPO,False,,False,
1UZ2,True,ENGINEEREDMUTATION,True,"SEEREMARK999, ENGINEEREDMUTATION"
1BSO,True,CONFLICT,True,CONFLICT
4IBA,False,,False,
1BSY,False,,True,SEEREMARK999
1BSQ,False,,False,
5EEE,False,,False,
4IB9,False,,False,
4Y0Q,False,,False,
3UEW,False,,False,
3BLG,False,,True,SEEREMARK999
2GJ5,False,,False,
2BLG,False,,True,SEEREMARK999
3UEX,False,,False,
